SKU,DESCRIPCION,MODELO_FORECAST,HORIZONTE,FORECAST
TRUD1468,JGO. PASTILLA DE FRENO,auto_arima,1,17.34
TRUD1468,JGO. PASTILLA DE FRENO,auto_arima,2,17.34
TRUD1468,JGO. PASTILLA DE FRENO,auto_arima,3,17.34
FG-55AA,FILTRO GASOLINA,auto_arima,1,17.31
FG-55AA,FILTRO GASOLINA,auto_arima,2,17.31
FG-55AA,FILTRO GASOLINA,auto_arima,3,17.31
DR96456495,KIT REPARACION FRENOS,auto_arima,1,21.06
DR96456495,KIT REPARACION FRENOS,auto_arima,2,16.19
DR96456495,KIT REPARACION FRENOS,auto_arima,3,17.32
FL373919051AA,MODULO GASOLINA SUMERGIBLE,auto_arima,1,20.69
FL373919051AA,MODULO GASOLINA SUMERGIBLE,auto_arima,2,17.03
FL373919051AA,MODULO GASOLINA SUMERGIBLE,auto_arima,3,17.03
GM96817343,RESERVORIO,auto_arima,1,17.05
GM96817343,RESERVORIO,auto_arima,2,17.05
GM96817343,RESERVORIO,auto_arima,3,17.05
FG-0B00,FILTRO GASOLINA,auto_arima,1,12.48
FG-0B00,FILTRO GASOLINA,auto_arima,2,18.8
FG-0B00,FILTRO GASOLINA,auto_arima,3,16.77
OP1042,BOMBA DE ACEITE,auto_arima,1,17.0
OP1042,BOMBA DE ACEITE,auto_arima,2,17.0
OP1042,BOMBA DE ACEITE,auto_arima,3,17.0
