REFERENCIA,DESCRIPCIÓN,TOTAL_SALES,CUM_SHARE,ABC_CLASS,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,XYZ_CLASS,ABC_XYZ
HU7008Z,FILTRO ACEITE,557,0.34861950842186684,A,8.9839,17.3238,1.9283,Z,AZ
CR2381-ROD-1631,GUARDAFANGO DELA LH,554,0.34971269357664925,A,8.9355,14.2091,1.5902,Z,AZ
PRTK272,KIT DISTRIBUCION,554,0.35080587873143165,A,8.9355,10.6875,1.1961,Z,AZ
FLHILUX,SENSOR NIVEL GASOLINA,553,0.3518970906278119,A,8.9194,17.3124,1.941,Z,AZ
FL2034703594,MODULO GASOLINA SUMERGIBLE,553,0.35298830252419217,A,8.9194,11.7656,1.3191,Z,AZ
FL77020-02240,MODULO GASOLINA SUMERGIBLE,553,0.3540795144205724,A,8.9194,9.1463,1.0254,Z,AZ
FL5N0919087E,MODULO GASOLINA SUMERGIBLE,550,0.35516480654174626,A,8.871,9.7988,1.1046,Z,AZ
DBDD889,JGO. PASTILLA DE FRENO,549,0.35624812540451795,A,8.8548,21.972,2.4814,Z,AZ
FIN16400-4M405,FILTRO INTANK,548,0.35732947100888757,A,8.8387,8.5745,0.9701,Y,AY
TRUD254S,JGO. PASTILLA DE FRENO,544,0.3584029235796486,A,8.7742,15.6106,1.7791,Z,AZ
PR1109,REGULADOR PRESION GASOLINA.       AVEO KIA HYUNDAI,542,0.3594724296336054,A,8.7419,6.3193,0.7229,Y,AY
FL31110-G6100,MODULO GASOLINA SUMERGIBLE,541,0.36053996242916003,A,8.7258,14.2932,1.638,Z,AZ
EP20-1840,KIT DISTRIBUCION,540,0.3616055219663125,A,8.7097,16.7066,1.9182,Z,AZ
FLAB399H307AD,MODULO GASOLINA COMBUSTIBLE,540,0.36267108150346505,A,8.7097,13.7,1.573,Z,AZ
FL31110-H7000,MODULO GASOLINA SUMERGIBLE,538,0.3637326945238133,A,8.6774,9.3701,1.0798,Z,AZ
ALHP-2266,CABLE EMBRAGUE POLO HATCH 1 4,534,0.364786414510553,A,8.6129,10.3789,1.205,Z,AZ
TRUD766,JGO. PASTILLA DE FRENO,534,0.3658401344972927,A,8.6129,12.2176,1.4185,Z,AZ
TRUD888,JGO. PASTILLA DE FRENO,532,0.36688990796722815,A,8.5806,15.9885,1.8633,Z,AZ
TRD9001,KIT DISTRIBUCION,532,0.36793968143716355,A,8.5806,7.8587,0.9159,Y,AY
NS111105M000,CARTER,531,0.3689874816486969,A,8.5645,14.1918,1.657,Z,AZ
WT032121110B,TERMOSTATO,531,0.37003528186023016,A,8.5645,9.1257,1.0655,Z,AZ
WT032121121K,"TOMA DE AGUA GOL V 1.6, POLO BRASIL 1.6, FOX 1.6",527,0.37107518903815495,A,8.5,8.1671,0.9608,Y,AY
3BD853601,EMBLEMA DELANTERO PASSAT 98 GOL V,527,0.3721150962160797,A,8.5,7.3413,0.8637,Y,AY
TRUD1915,JGO. PASTILLA DE FRENO,527,0.3731550033940044,A,8.5,23.2009,2.7295,Z,AZ
DR3222,DISCO FRENO,526,0.3741929373135271,A,8.4839,11.916,1.4046,Z,AZ
FL78880KIT,KIT DE REPARACION SZ NEXT,525,0.3752288979746476,A,8.4677,15.9108,1.879,Z,AZ
ALHP-0428,KIT BANDAS Y TENSOR DISTRIBUCION AMAROK,524,0.37626288537736596,A,8.4516,15.7927,1.8686,Z,AZ
FLJ43-1106610,MODULO GASOLINA SUMERGIBLE,524,0.3772968727800843,A,8.4516,9.1927,1.0877,Z,AZ
TRUD784,JGO. PASTILLA DE FRENO,524,0.37833086018280265,A,8.4516,16.3507,1.9346,Z,AZ
