REFERENCIA,DESCRIPCIÓN,AVG_MONTHLY_SALES,AVG_STOCK,INVENTORY_TURNOVER_PROXY
TRUD611,JGO. PASTILLA DE FRENO,1.5,30.7742,0.048742
TRUD632,JGO. PASTILLA DE FRENO,13.1613,88.8065,0.148202
TRUD652,JGO. PASTILLA DE FRENO,2.9677,23.629,0.125597
TRUD654,JGO. PASTILLA DE FRENO,1.9032,21.5,0.088522
TRUD660,JGO. PASTILLA DE FRENO,1.4839,14.0968,0.105263
TRUD668,JGO. PASTILLA DE FRENO,1.0968,11.0806,0.098981
TRUD677,JGO. PASTILLA DE FRENO,3.1129,31.7581,0.098019
TRUD679,JGO. PASTILLA DE FRENO,2.7581,30.629,0.090047
TRUD680,JGO. PASTILLA DE FRENO,2.0484,24.8871,0.082307
TRUD691,JGO. PASTILLA DE FRENO,2.6613,67.3548,0.039511
TRUD700,JGO. PASTILLA DE FRENO,1.6613,74.8387,0.022198
TRUD704,JGO. PASTILLA DE FRENO,2.0323,35.9839,0.056477
TRUD726,JGO. PASTILLA DE FRENO,2.1129,36.0323,0.058639
TRUD729,JGO. PASTILLA DE FRENO,1.6613,68.7903,0.02415
TRUD766,JGO. PASTILLA DE FRENO,8.6129,47.0645,0.183002
TRUD768,JGO. PASTILLA DE FRENO,4.1452,24.5484,0.168857
TRUD774,JGO. PASTILLA DE FRENO,7.4194,43.2742,0.17145
TRUD784,JGO. PASTILLA DE FRENO,8.4516,162.9516,0.051866
TRUD785,JGO. PASTILLA DE FRENO,1.0484,17.7742,0.058984
TRUD792,JGO. PASTILLA DE FRENO,1.1613,11.9677,0.097035
TRUD798,JGO. PASTILLA DE FRENO,1.7903,27.7097,0.06461
TRUD799,JGO. PASTILLA DE FRENO,0.9194,66.2742,0.013872
TRUD813,JGO. PASTILL A DE FRENO,2.9032,26.3065,0.110362
TRUD815,JGO. PASTILLA DE FRENO,2.4194,15.3065,0.158061
TRUD828,JGO. PASTILLA DE FRENO,5.0161,39.0161,0.128566
TRUD830,JGO. PASTILLA DE FRENO,1.9355,41.9516,0.046136
TRUD831,JGO. PASTILLA DE FRENO,9.7581,74.5968,0.130811
TRUD833,JGO. PASTILLA DE FRENO,1.9355,15.371,0.125918
TRUD862,JGO. PASTILLA DE FRENO,0.8548,6.1613,0.138743
TRUD864,JGO. PASTILLA DE FRENO,10.2258,235.0161,0.043511
TRUD866,JGO. PASTILLA DE FRENO,3.0,15.8065,0.189796
TRUD867,JGO. PASTILLA DE FRENO,5.4355,72.4355,0.075039
TRUD882,JGO. PASTILLA DE FRENO,1.4032,23.1774,0.060543
TRUD883,JGO. PASTILLA DE FRENO,1.2903,10.9677,0.117647
TRUD888,JGO. PASTILLA DE FRENO,8.5806,237.7581,0.03609
TRUD889,JGO. PASTILLA DE FRENO,3.8548,25.0,0.154194
TRUD9017,JGO. PASTILLA DE FRENO,3.1935,18.2097,0.175376
TRUD9029,JGO. PASTILLA DE FRENO,2.2742,27.9355,0.081409
TRUD904,JGO. PASTILLA DE FRENO,2.6774,40.5323,0.066057
TRUD905,JGO. PASTILLA DE FRENO,1.6935,43.4355,0.03899
TRUD906,JGO. PASTILLA DE FRENO,6.3065,51.3548,0.122802
TRUD924,JGO. PASTILLA DE FRENO,2.7097,95.2419,0.02845
TRUD941,JGO. PASTILLA DE FRENO,13.871,126.8387,0.109359
TRUD949,JGO. PASTILLA DE FRENO,0.5484,83.5645,0.006562
TRUD973,JGO. PASTILLA DE FRENO,2.0161,30.2419,0.066667
TRUD9730,JGO. PASTILLA DE FRENO,1.4677,35.8548,0.040936
TRUD976,JGO. PASTILLA DE FRENO,2.5,43.4032,0.057599
TRUDB1366,JGO. PASTILLA DE FRENO,3.129,16.2903,0.192079
TRUDB140,JGO. PASTILLA DE FRENO,0.7581,25.8548,0.02932
TRUDB1424,JGO. PASTILLA DE FRENO,1.0,34.8387,0.028704
TRUDB2002,JGO. PASTILLA DE FRENO,9.8065,259.2581,0.037825
TRUDB3535,JGO. PASTILLA DE FRENO,1.7903,11.8387,0.151226
TRUDS1169,JGO. PASTILLA DE FRENO,0.4516,32.3548,0.013958
TRUFDB757,JGO. PASTILLA DE FRENO,2.5484,32.7258,0.077871
TRUKB1150,TRUKB1150,2.6935,62.8065,0.042886
TS028-GIN-1578,RETENEDOR DE TRANSMISION 020409374,0.4032,86.9516,0.004637
TS028-GIN-1810,PROPULSOR HIDRAULICO AMAROK,2.1774,99.9839,0.021778
TS028-GIN-1811,"RIEL DE INYECCION CON INYECTORES VIRTUS, POLO, T-CROSS",9.371,71.8548,0.130415
TS028-GIN-1812,"INYECTOR DE GASOLINA VIRTUS, POLO, T-CROSS",1.6935,13.0484,0.12979
TY17201-30120,TURBO,6.3065,60.9032,0.103549
USNS-0052,"HORQUILLA 3RA Y 4TA GOL, SAVEIRO 1994---2006",1.1452,7.4032,0.154684
USNS-0271,"JGO DE RINES STANDAR BAH FOX (5Z1,5Z3,5Z4) 1.6 CROSSFOX, GOL V 1.6 CFZA 2009--->, POLO (9N_, 9A_) 1.6 2002---2005",3.4355,27.5806,0.124561
USNS-0326,"EMPAQUE CABEZOTE ORIGINAL GOLF VENTO 2.0, GOLF IV 1.6 ALEMAN",1.2742,28.8871,0.044109
USNS-0394,EMPAQUE CABEZOTE AMAROK	AMAROK 2009--->,10.6129,46.0645,0.230392
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,19.629,130.4194,0.150507
USNS-0438,SONDA LAMBDA AMAROK,1.1452,18.5161,0.061847
USNS-0516,VALVULA CONTROL PRESION COMBUSTIBLE AMAROK 2009--->,0.371,7.6774,0.048319
USNS-0529,"BALANCINES AMAROK 2009--->, CRAFTER 30-35 AUTOBUS 2011---2016, CRAFTER 30-50 FURGON 2011---2016, EUROVAN 2009---2015,...",1.1774,27.2903,0.043144
USNS-0553,"EMPAQUE CABEZOTE MOTOR APK BORA, JETTA, GOLF IV 1.8-2.0cc",3.8871,31.8226,0.122149
USNS-0653,"BANDA ALTERNADOR 5PK1060 BORA V 2005---2010, GOLF 2007---2013, JETTA 2008---2014",1.9194,12.9355,0.148379
USNS-0654,BANDA ALTERNADOR JETTA 2012 5DPK1554,1.3387,65.1452,0.02055
USNS-0657,"TENSOR CON BANDA DE ALTERNADOR BETTLE 2011--2019, BORA V 2006---2010, JETTA 2010--->, NEW BEETLE 2005---2010, PASSAT ...",24.5484,301.2903,0.081478
USNS-0659,"EMISOR IMPULSOS CIGUENAL CKP JETTA 2.5 2010 --->, BORA V 2006---2010, NEW BEETLE 2005---2010",0.1452,5.7903,0.02507
USNS-0746,"KIT RULIMAN DE RUEDA POSTERIOR GOL, VENTO, PARATI, SAVEIRO, FELICIA, GOLF I 1983---1993, GOLF II 1984---1991, GOLF III 1...",1.2742,30.6452,0.041579
USNS-0994,"CUBO RUEDA DEL GOLF IV 1997---2005, JETTA 1998---2013, NEW BEETLE 1998---2010",2.7097,34.2419,0.079133
USNS-1010,"BOMBA DIRECCION HIDRAULICA GOLF IV, JETTA IV, GOL 2011",11.5161,153.4677,0.075039
USNS-1286,BOMBA DIRECCION HIDRAULICA AMAROK	AMAROK 2009--->,2.3871,77.8548,0.030661
USNS-1287,BUJE CREMALLERA AMAROK,1.0806,16.5161,0.06543
USNS-2115,"CONMUTADOR ENCENDIDO VENTO, GOLF II 1984---1991, GOLF III 1993---1998, GOLF IV 1998---2002, JETTA 1984---1998, PASSAT 19...",9.6129,68.7419,0.13984
USNS-2426,"POLEA BANDA ALTERNADOR POLO, FOX 2003--2014, GOL 2009--->, JETTA 1998---2013, SAVEIRO 2009--->",0.7742,29.2581,0.026461
USNS-2478,"BOBINA DE ENCENDIDO POLO INDU 2009--->, GOLF VI 2002---2012, TIGUAN LIMITED (5N_) 2008---2018, VENTO V 2010--->",0.5645,89.1613,0.006331
USNS-2480,"BOBINA DE IGNICION TOUAREG 2006---2010, GOLF MK5 GTI 2007---2013, AUDI  Q3",13.1613,175.5323,0.074979
USNS-2481,SOPORTE PARA CHOQUES BORA V,12.9032,104.7581,0.123172
USNS-2482,"TAPA DEPOSITO REFRIGERANTE BEETLE 2012---2019, GOL V 2009--->, GOLF VII 2012---2017M JETTA 2017--->, PASSAT 2005--...",3.2742,29.8065,0.109848
USNS-2483,"TERMINAL BARRA DIRECCION GOL, PARATI, SAVEIRO",1.7097,14.7903,0.115594
USNS-2485,"PISTON 2.00 cc TIGUAN (5N_) TFSI 2007---2018, GOLF VI (5K1) 2009---2012, JETTA CLASICO VI 2010--->, PASSAT 2005---201...",1.4032,23.2581,0.060333
USNS-2487,"CHAQUETA DE BIELA AMAROK TSI 2010---2015, TIGUAN (5N_) TFSI 2007---2018, GOLF VI (5K1) 2009---2012, JETTA CLASICO VI 201...",5.4677,58.6452,0.093234
USNS-2488,"CHAQUETA DE BANCADA AMAROK TSI 2010---2015, TIGUAN (5N_) TFSI 2007---2018, GOLF VI (5K1) 2009---2012, JETTA CLASICO VI 2...",0.9677,7.3871,0.131004
USNS-2503,MODULO GASOLINA COMBUSTIBLE,2.2097,33.9194,0.065145
USNS-2507,"CAUCHO BARRA ESTABILIZADORA FOX 1.6cc (5Z1,5Z3,5Z4) 2003---2014, FOX (5Z5) 2014---2017, GOL V 2009--->, POLO 1.6cc (9...",1.8226,22.3871,0.081412
USNS-2508,POLEA BOMBA DIRECCION HIDRAULICA AMAROK,1.6935,19.0968,0.088682
USNS-2509,MODULO GASOLINA SUMERGIBLE,1.0,18.8548,0.053037
VAM8005,HORQUILLA EMBRAGUE,36.3226,419.4516,0.086595
VW026115105A,BOMBA ACEITE,19.0484,125.5484,0.151721
VW032103601AA,CARTER,4.1935,23.7419,0.17663
VW036115105D,BOMBA ACEITE,1.2903,31.6452,0.040775
