REFERENCIA,DESCRIPCIÓN,N_PERIODS,NON_ZERO_PERIODS,PCT_NON_ZERO,ADI,CV2,DEMAND_TYPE
1H1721335A,CABLE EMBRAGUE G V AUTOMATICO,62,31,0.5,2.0,5.1931,Lumpy
1H4839461A,LEVANTAVIDRIO ELECT POST IZQ G V,62,33,0.5323,1.8788,1.1041,Lumpy
1H4839462A,LEVANTAVIDRIO ELEC DER POST G V,62,23,0.371,2.6957,4.3967,Lumpy
1H685714701C,MANIJA GUANTERA G V,62,30,0.4839,2.0667,1.599,Lumpy
1HM121101JAHU,MANGUERA PULPO GV 2 0,62,25,0.4032,2.48,3.5467,Lumpy
1J0121086BG,MANGUERA DOBLE GOLFIV,62,9,0.1452,6.8889,9.8715,Lumpy
1J0122291,ACOPLE RADIADOR SUP AGUA GOLFIV,62,20,0.3226,3.1,3.4137,Lumpy
1J0253115J,JUNTA TUBO ESCAPE GOLF IV APK,62,40,0.6452,1.55,0.8871,Lumpy
1J0698123DS,KIT REPARO MORDAZA DEL,62,36,0.5806,1.7222,0.8877,Lumpy
1J0711067L,CASQUILLO PALANCA C GOLF IV,62,9,0.1452,6.8889,6.8368,Lumpy
1J0721174C,CAUCHO PEDAL EMBRAGUE,62,26,0.4194,2.3846,3.0495,Lumpy
1J0819644,FILTRO CALEFACCION GOLF JETTA IV PC,62,11,0.1774,5.6364,9.0642,Lumpy
1J0823593C,VARILLA CAPOT GOLF IV,62,31,0.5,2.0,1.796,Lumpy
1J0919379A,TERMOSENSOR EXTERIOR 2 POLOS GOLF IV,62,15,0.2419,4.1333,3.8621,Lumpy
1J0927183,TROMPO PEDAL EMBRAGUE GOLF 01,62,18,0.2903,3.4444,5.2951,Lumpy
1J0945511A,INTERRUPTOR LUZ DE FRENO,62,27,0.4355,2.2963,1.8737,Lumpy
1J4837461H,LEVANTAVIDRIO ELECTR DEL LH CON BASE,62,41,0.6613,1.5122,0.7573,Lumpy
1J4837462F,LEVANTAVIDRIO ELECT DER,62,32,0.5161,1.9375,1.1489,Lumpy
1J4837462H,LEVANTAVIDRIO ELECT DEL DER CON BASE,62,25,0.4032,2.48,1.8244,Lumpy
1J6955707A,BRAZO LIMPIAPARABRISAS PLUMA POSTERIOR,62,18,0.2903,3.4444,3.7656,Lumpy
1K0122291R,ACOPLE REFRIGERANTE AGUA BORA,62,32,0.5161,1.9375,1.208,Lumpy
