SKU,DESCRIPCION,ABC_CLASS,XYZ_CLASS,ABC_XYZ,CURRENT_STOCK,LAST_MONTH_SALES,F1,F2,F3,FORECAST_3M,AVG_FORECAST_MONTH,MONTHS_OF_COVER,SAFETY_STOCK,REORDER_POINT,RECOMMENDED_PURCHASE,ALERT_STATUS,ACTION,MODEL_USED,TOTAL_SALES,MEAN_MONTHLY_SALES,STD_MONTHLY_SALES,CV,SAFETY_FACTOR,PRIORITY_SCORE
8TF358106-101,MODULO GASOLINA SUMERGIBLE,A,Y,AY,93.0,0.0,20.6,20.6,20.6,61.8,20.6,4.51,24.72,45.32,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1277,20.5968,18.7431,0.91,1.2,0.0
FIN23300-21030,FILTRO INTANK,A,Z,AZ,244.0,0.0,20.58,20.58,20.58,61.74,20.58,11.86,29.64,50.22,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1276,20.5806,25.6958,1.2485,1.44,0.0
TRUD1439,JGO. PASTILLA DE FRENO,A,Z,AZ,25.0,157.0,0.0,0.45,10.64,11.09,3.7,6.76,5.33,9.03,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1255,20.2419,29.0726,1.4363,1.44,0.0
FL31110-17000,MODULO GASOLINA SUMERGIBLE,A,Z,AZ,177.0,23.0,19.73,19.73,19.73,59.19,19.73,8.97,28.41,48.14,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1223,19.7258,34.9184,1.7702,1.44,0.0
ALHP-0629,JUNTA CARTER AMAROK,A,Z,AZ,175.0,39.0,19.68,19.68,19.68,59.04,19.68,8.89,28.34,48.02,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1220,19.6774,33.902,1.7229,1.44,0.0
USNS-0411,TAPA DEL FILTRO ACEITE VW AMAROK,B,Z,BZ,83.0,0.0,23.96,18.84,19.93,62.73,20.91,3.97,25.09,46.0,0.0,OK,Sin accion inmediata,auto_arima,1217,19.629,26.3667,1.3432,1.2,0.0
VW026115105A,BOMBA ACEITE,B,Z,BZ,99.0,54.0,26.67,26.67,26.67,80.01,26.67,3.71,32.0,58.67,0.0,OK,Sin accion inmediata,auto_arima,1181,19.0484,19.9503,1.0473,1.2,0.0
FL111RU17,BANDA DISTRIBUCION CH. AVEO 8 VAL (111 DIENTES),B,Z,BZ,494.0,0.0,19.05,19.05,19.05,57.15,19.05,25.93,22.86,41.91,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1181,19.0484,48.9751,2.5711,1.2,0.0
ALHP-2372,TORNILLO PINON CIGUENAL SOLO CONSUMIDOR,B,Z,BZ,153.0,0.0,18.9,18.9,18.9,56.7,18.9,8.1,22.68,41.58,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1172,18.9032,21.9829,1.1629,1.2,0.0
FLFILARIS,FILTRO GASOLINA SUMERGIBLE,B,Z,BZ,164.0,21.0,18.65,18.65,18.65,55.95,18.65,8.79,22.38,41.03,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1156,18.6452,26.3378,1.4126,1.2,0.0
PR39210-23750,SENSOR OXIGENO,B,Z,BZ,129.0,0.0,17.76,17.76,17.76,53.28,17.76,7.26,21.31,39.07,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1101,17.7581,29.7981,1.678,1.2,0.0
WT9046588,BASE TERMOSTATO,B,Z,BZ,199.0,18.0,17.76,17.76,17.76,53.28,17.76,11.2,21.31,39.07,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1101,17.7581,18.065,1.0173,1.2,0.0
TRUD1468,JGO. PASTILLA DE FRENO,B,Z,BZ,425.0,0.0,17.34,17.34,17.34,52.02,17.34,24.51,20.81,38.15,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1075,17.3387,46.176,2.6632,1.2,0.0
FG-55AA,FILTRO GASOLINA,B,Y,BY,102.0,34.0,17.31,17.31,17.31,51.93,17.31,5.89,17.31,34.62,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1073,17.3065,16.5924,0.9587,1.0,0.0
DR96456495,KIT REPARACION FRENOS,B,Y,BY,61.0,0.0,21.06,16.19,17.32,54.57,18.19,3.35,18.19,36.38,0.0,OK,Sin accion inmediata,auto_arima,1059,17.0806,16.1917,0.948,1.0,0.0
FL373919051AA,MODULO GASOLINA SUMERGIBLE,C,Z,CZ,41.0,0.0,20.69,17.03,17.03,54.75,18.25,2.25,17.52,35.77,13.02,OK,Sin accion inmediata,auto_arima,1059,17.0806,32.2902,1.8905,0.96,1.17
GM96817343,RESERVORIO,C,Y,CY,103.0,20.0,17.05,17.05,17.05,51.15,17.05,6.04,13.64,30.69,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1057,17.0484,13.5175,0.7929,0.8,0.0
FG-0B00,FILTRO GASOLINA,C,Y,CY,118.0,19.0,12.48,18.8,16.77,48.05,16.02,7.37,12.82,28.84,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1057,17.0484,14.2132,0.8337,0.8,0.0
OP1042,BOMBA DE ACEITE,C,Z,CZ,771.0,0.0,17.0,17.0,17.0,51.0,17.0,45.35,16.32,33.32,0.0,SOBREINVENTARIO,Revisar compras; posible sobrestock,auto_arima,1054,17.0,34.0356,2.0021,0.96,0.0
